,birthday,annualpay,gender,education_type,wanted_annualpay,sort,annualpay
155,34.0,250.0,1.0,2.0,350.0,1.0,200.0
156,34.0,200.0,1.0,2.0,200.0,1.0,200.0
157,42.0,200.0,1.0,4.0,250.0,1.0,200.0
158,36.0,350.0,0.0,2.0,350.0,1.0,300.0
159,30.0,200.0,0.0,6.0,350.0,1.0,300.0
160,31.0,350.0,1.0,4.0,350.0,1.0,200.0
161,31.0,200.0,1.0,3.0,250.0,1.0,200.0
162,43.0,300.0,0.0,4.0,300.0,1.0,300.0
163,35.0,400.0,1.0,3.0,400.0,1.0,400.0
164,45.0,400.0,0.0,6.0,500.0,1.0,500.0
165,44.0,250.0,0.0,6.0,400.0,1.0,350.0
166,45.0,200.0,1.0,4.0,250.0,1.0,200.0
167,49.0,300.0,0.0,6.0,350.0,1.0,350.0
168,43.0,350.0,0.0,2.0,450.0,1.0,400.0
169,34.0,200.0,0.0,6.0,350.0,1.0,300.0
170,39.0,600.0,0.0,6.0,650.0,1.0,600.0
171,46.0,350.0,1.0,5.0,350.0,1.0,300.0
172,39.0,250.0,0.0,2.0,450.0,1.0,400.0
173,39.0,400.0,1.0,6.0,450.0,1.0,400.0
174,30.0,200.0,0.0,6.0,200.0,1.0,200.0
175,32.0,300.0,0.0,6.0,350.0,1.0,300.0
176,44.0,500.0,1.0,4.0,500.0,1.0,400.0
177,35.0,350.0,1.0,4.0,350.0,1.0,200.0
178,28.0,300.0,0.0,6.0,400.0,1.0,350.0
179,44.0,200.0,1.0,3.0,350.0,1.0,200.0
180,26.0,200.0,1.0,4.0,200.0,1.0,200.0
181,43.0,350.0,1.0,3.0,350.0,1.0,200.0
182,42.0,200.0,1.0,2.0,350.0,1.0,200.0
183,50.0,400.0,0.0,4.0,550.0,1.0,500.0
184,52.0,200.0,1.0,2.0,200.0,1.0,200.0
185,49.0,650.0,0.0,2.0,650.0,1.0,600.0
186,31.0,400.0,0.0,4.0,450.0,1.0,400.0
187,32.0,450.0,1.0,4.0,200.0,1.0,200.0
188,44.0,800.0,0.0,6.0,650.0,1.0,600.0
189,34.0,250.0,0.0,4.0,250.0,1.0,200.0
190,33.0,450.0,0.0,2.0,400.0,1.0,350.0
191,26.0,300.0,1.0,3.0,250.0,1.0,200.0
192,37.0,300.0,0.0,1.0,400.0,1.0,400.0
193,30.0,250.0,1.0,4.0,400.0,1.0,350.0
194,30.0,200.0,1.0,6.0,300.0,1.0,250.0
195,35.0,200.0,1.0,6.0,200.0,1.0,200.0
196,39.0,300.0,0.0,2.0,400.0,1.0,400.0
197,25.0,200.0,1.0,6.0,200.0,1.0,200.0
198,28.0,200.0,0.0,3.0,250.0,1.0,200.0
199,40.0,700.0,1.0,6.0,450.0,1.0,400.0
200,29.0,400.0,0.0,2.0,200.0,1.0,200.0
201,30.0,250.0,1.0,6.0,300.0,1.0,250.0
202,30.0,200.0,0.0,2.0,300.0,1.0,200.0
203,34.0,200.0,1.0,3.0,350.0,1.0,200.0
204,42.0,250.0,1.0,3.0,400.0,1.0,400.0
205,28.0,300.0,0.0,6.0,400.0,1.0,350.0
206,48.0,850.0,0.0,6.0,750.0,1.0,700.0
207,20.0,200.0,1.0,2.0,350.0,1.0,200.0
208,25.0,200.0,0.0,2.0,400.0,1.0,300.0
209,38.0,200.0,0.0,2.0,650.0,1.0,500.0
210,43.0,400.0,0.0,4.0,350.0,1.0,300.0
211,47.0,600.0,0.0,6.0,450.0,1.0,400.0
212,29.0,250.0,1.0,4.0,350.0,1.0,300.0
213,47.0,500.0,0.0,2.0,500.0,1.0,400.0
214,35.0,600.0,0.0,2.0,650.0,1.0,600.0
215,41.0,700.0,0.0,2.0,400.0,1.0,400.0
216,35.0,200.0,0.0,2.0,650.0,1.0,600.0
217,47.0,350.0,0.0,4.0,400.0,1.0,400.0
218,29.0,250.0,1.0,2.0,250.0,1.0,200.0
219,49.0,700.0,0.0,7.0,450.0,1.0,400.0
220,41.0,200.0,1.0,2.0,200.0,1.0,200.0
221,20.0,200.0,0.0,2.0,250.0,1.0,200.0
222,52.0,200.0,1.0,2.0,200.0,1.0,200.0
223,45.0,850.0,0.0,6.0,750.0,1.0,700.0
224,44.0,450.0,0.0,6.0,500.0,1.0,500.0
225,45.0,300.0,1.0,2.0,400.0,1.0,400.0
226,44.0,1000.0,0.0,2.0,650.0,1.0,600.0
227,36.0,450.0,0.0,6.0,500.0,1.0,500.0
228,35.0,350.0,0.0,4.0,300.0,1.0,250.0
229,50.0,500.0,0.0,2.0,500.0,1.0,400.0
230,38.0,200.0,0.0,2.0,250.0,1.0,200.0
231,35.0,200.0,1.0,6.0,300.0,1.0,200.0
232,27.0,200.0,1.0,4.0,300.0,1.0,250.0
233,43.0,200.0,1.0,4.0,250.0,1.0,200.0
234,34.0,600.0,0.0,3.0,350.0,1.0,300.0
235,32.0,300.0,0.0,2.0,400.0,1.0,350.0
236,61.0,200.0,0.0,6.0,250.0,1.0,200.0
237,35.0,200.0,1.0,3.0,250.0,1.0,200.0
238,35.0,200.0,0.0,6.0,350.0,1.0,300.0
239,46.0,200.0,1.0,6.0,250.0,1.0,200.0
240,23.0,200.0,1.0,2.0,350.0,1.0,200.0
241,29.0,300.0,0.0,3.0,350.0,1.0,300.0
242,23.0,250.0,0.0,2.0,300.0,1.0,200.0
243,22.0,200.0,1.0,2.0,200.0,1.0,200.0
244,37.0,200.0,1.0,2.0,300.0,1.0,200.0
245,35.0,600.0,0.0,6.0,600.0,1.0,550.0
246,37.0,300.0,1.0,6.0,450.0,1.0,400.0
247,45.0,400.0,0.0,4.0,450.0,1.0,400.0
248,46.0,200.0,1.0,3.0,200.0,1.0,200.0
249,40.0,200.0,0.0,2.0,300.0,1.0,250.0
250,25.0,200.0,1.0,6.0,350.0,1.0,300.0
251,28.0,350.0,1.0,2.0,350.0,1.0,300.0
252,44.0,400.0,1.0,6.0,650.0,1.0,400.0
253,28.0,250.0,0.0,4.0,350.0,1.0,300.0
254,29.0,200.0,0.0,4.0,200.0,1.0,200.0
255,24.0,250.0,0.0,3.0,350.0,1.0,300.0
256,42.0,350.0,0.0,6.0,450.0,1.0,400.0
257,42.0,450.0,0.0,6.0,300.0,1.0,300.0
258,30.0,300.0,1.0,6.0,350.0,1.0,300.0
259,48.0,650.0,0.0,6.0,650.0,1.0,600.0
260,29.0,250.0,0.0,3.0,300.0,1.0,250.0
261,39.0,200.0,1.0,3.0,350.0,1.0,200.0
262,35.0,300.0,0.0,6.0,550.0,1.0,550.0
263,26.0,200.0,1.0,4.0,350.0,1.0,250.0
264,40.0,250.0,0.0,6.0,350.0,1.0,300.0
265,21.0,200.0,1.0,2.0,200.0,1.0,200.0
266,28.0,200.0,1.0,2.0,300.0,1.0,250.0
267,43.0,350.0,1.0,4.0,350.0,1.0,200.0
268,31.0,500.0,0.0,6.0,500.0,1.0,450.0
269,45.0,700.0,0.0,4.0,650.0,1.0,600.0
270,34.0,200.0,1.0,2.0,200.0,1.0,200.0
271,30.0,300.0,0.0,6.0,350.0,1.0,300.0
272,30.0,350.0,0.0,4.0,450.0,1.0,400.0
273,46.0,200.0,1.0,2.0,200.0,1.0,200.0
274,33.0,350.0,1.0,2.0,350.0,1.0,200.0
275,44.0,400.0,1.0,6.0,450.0,1.0,400.0
276,40.0,600.0,0.0,2.0,450.0,1.0,400.0
277,42.0,400.0,0.0,2.0,400.0,1.0,400.0
278,40.0,200.0,1.0,3.0,200.0,1.0,200.0
279,29.0,250.0,1.0,4.0,300.0,1.0,250.0
280,40.0,200.0,1.0,4.0,350.0,1.0,200.0
281,23.0,200.0,1.0,6.0,300.0,1.0,200.0
282,45.0,550.0,0.0,4.0,350.0,1.0,300.0
283,57.0,800.0,0.0,7.0,800.0,1.0,800.0
284,39.0,400.0,0.0,6.0,400.0,1.0,400.0
285,30.0,250.0,1.0,2.0,250.0,1.0,200.0
286,24.0,350.0,0.0,6.0,450.0,1.0,350.0
287,49.0,200.0,0.0,6.0,250.0,1.0,200.0
288,33.0,450.0,0.0,4.0,500.0,1.0,450.0
289,42.0,500.0,1.0,4.0,550.0,1.0,400.0
290,28.0,350.0,0.0,4.0,400.0,1.0,300.0
291,29.0,300.0,0.0,1.0,350.0,1.0,300.0
292,60.0,250.0,0.0,3.0,300.0,1.0,250.0
293,35.0,250.0,1.0,2.0,300.0,1.0,200.0
294,37.0,200.0,1.0,2.0,250.0,1.0,200.0
295,33.0,350.0,0.0,2.0,350.0,1.0,300.0
296,35.0,250.0,0.0,2.0,250.0,1.0,200.0
297,26.0,200.0,1.0,3.0,300.0,1.0,250.0
298,45.0,200.0,1.0,2.0,250.0,1.0,200.0
299,34.0,350.0,1.0,6.0,300.0,1.0,200.0
300,35.0,200.0,0.0,2.0,200.0,1.0,200.0
301,25.0,200.0,0.0,2.0,250.0,1.0,200.0
302,39.0,350.0,0.0,6.0,350.0,1.0,300.0
303,47.0,300.0,0.0,2.0,400.0,1.0,400.0
304,52.0,650.0,0.0,4.0,500.0,1.0,500.0
305,36.0,200.0,0.0,6.0,650.0,1.0,600.0
306,35.0,200.0,0.0,6.0,650.0,1.0,600.0
307,32.0,250.0,0.0,4.0,350.0,1.0,300.0
308,42.0,400.0,0.0,4.0,450.0,1.0,400.0
309,42.0,250.0,1.0,2.0,300.0,1.0,200.0
310,47.0,200.0,1.0,2.0,200.0,1.0,200.0
311,35.0,250.0,0.0,7.0,450.0,1.0,250.0
312,46.0,300.0,1.0,3.0,250.0,1.0,200.0
313,27.0,450.0,0.0,6.0,500.0,1.0,450.0
314,48.0,200.0,1.0,2.0,250.0,1.0,200.0
315,35.0,300.0,1.0,4.0,350.0,1.0,200.0
316,21.0,200.0,0.0,6.0,300.0,1.0,200.0
317,49.0,250.0,0.0,6.0,300.0,1.0,300.0
318,40.0,400.0,0.0,2.0,400.0,1.0,400.0
319,40.0,200.0,1.0,2.0,300.0,1.0,200.0
320,42.0,500.0,0.0,6.0,500.0,1.0,500.0
321,27.0,300.0,0.0,6.0,350.0,1.0,300.0
322,29.0,300.0,1.0,6.0,350.0,1.0,300.0
323,29.0,400.0,0.0,6.0,500.0,1.0,450.0
324,46.0,200.0,1.0,2.0,400.0,1.0,400.0
325,31.0,200.0,1.0,3.0,300.0,1.0,200.0
326,42.0,300.0,1.0,2.0,300.0,1.0,200.0
327,40.0,750.0,0.0,2.0,750.0,1.0,800.0
328,31.0,450.0,0.0,4.0,350.0,1.0,300.0
329,31.0,300.0,1.0,2.0,350.0,1.0,200.0
330,33.0,250.0,0.0,6.0,350.0,1.0,300.0
331,38.0,300.0,0.0,4.0,200.0,1.0,200.0
332,31.0,200.0,0.0,6.0,250.0,1.0,200.0
333,36.0,350.0,0.0,4.0,350.0,1.0,300.0
334,45.0,200.0,0.0,4.0,250.0,1.0,200.0
335,41.0,200.0,0.0,2.0,250.0,1.0,200.0
336,36.0,350.0,0.0,6.0,400.0,1.0,350.0
337,20.0,200.0,1.0,2.0,200.0,1.0,200.0
338,46.0,300.0,0.0,6.0,300.0,1.0,300.0
339,45.0,200.0,0.0,2.0,200.0,1.0,200.0
340,34.0,250.0,1.0,4.0,300.0,1.0,200.0
341,44.0,250.0,0.0,2.0,400.0,1.0,400.0
342,25.0,300.0,0.0,6.0,400.0,1.0,350.0
343,35.0,250.0,0.0,6.0,300.0,1.0,250.0
344,47.0,750.0,0.0,4.0,600.0,1.0,600.0
345,41.0,200.0,1.0,3.0,300.0,1.0,200.0
346,48.0,750.0,0.0,4.0,450.0,1.0,400.0
347,26.0,400.0,0.0,1.0,550.0,1.0,400.0
348,28.0,350.0,1.0,6.0,350.0,1.0,300.0
349,31.0,400.0,0.0,6.0,400.0,1.0,350.0
350,48.0,700.0,0.0,4.0,650.0,1.0,600.0
351,41.0,450.0,0.0,4.0,200.0,1.0,200.0
352,44.0,200.0,1.0,6.0,200.0,1.0,200.0
353,27.0,200.0,0.0,6.0,300.0,1.0,200.0
354,41.0,200.0,1.0,2.0,200.0,1.0,200.0
355,37.0,500.0,0.0,6.0,550.0,1.0,550.0
356,36.0,300.0,1.0,6.0,350.0,1.0,300.0
357,28.0,300.0,0.0,4.0,350.0,1.0,300.0
358,33.0,200.0,0.0,6.0,200.0,1.0,200.0
359,40.0,200.0,1.0,6.0,200.0,1.0,200.0
360,31.0,500.0,0.0,5.0,500.0,1.0,450.0
361,47.0,600.0,0.0,6.0,450.0,1.0,400.0
362,36.0,200.0,0.0,6.0,450.0,1.0,400.0
363,36.0,550.0,0.0,6.0,600.0,1.0,550.0
364,28.0,250.0,1.0,3.0,300.0,1.0,250.0
365,46.0,450.0,0.0,4.0,450.0,1.0,400.0
366,27.0,250.0,0.0,2.0,350.0,1.0,300.0
367,61.0,350.0,0.0,6.0,450.0,1.0,350.0
368,41.0,500.0,0.0,6.0,600.0,1.0,500.0
369,32.0,350.0,0.0,4.0,300.0,1.0,200.0
370,24.0,250.0,1.0,6.0,300.0,1.0,200.0
371,44.0,450.0,1.0,6.0,450.0,1.0,400.0
372,46.0,400.0,0.0,6.0,350.0,1.0,300.0
373,27.0,300.0,1.0,2.0,250.0,1.0,200.0
374,47.0,450.0,0.0,4.0,400.0,1.0,400.0
375,20.0,200.0,0.0,2.0,250.0,1.0,200.0
376,24.0,200.0,0.0,2.0,300.0,1.0,200.0
377,37.0,400.0,0.0,2.0,350.0,1.0,300.0
378,38.0,300.0,0.0,4.0,300.0,1.0,250.0
379,44.0,400.0,0.0,6.0,400.0,1.0,350.0
380,27.0,200.0,1.0,4.0,250.0,1.0,200.0
381,27.0,250.0,1.0,3.0,350.0,1.0,250.0
382,40.0,200.0,0.0,4.0,400.0,1.0,400.0
383,30.0,350.0,0.0,2.0,400.0,1.0,250.0
384,36.0,500.0,0.0,2.0,550.0,1.0,550.0
385,49.0,500.0,1.0,2.0,500.0,1.0,450.0
386,32.0,300.0,1.0,4.0,250.0,1.0,200.0
387,42.0,200.0,1.0,3.0,250.0,1.0,200.0
388,35.0,200.0,1.0,4.0,200.0,1.0,200.0
389,45.0,450.0,0.0,2.0,450.0,1.0,400.0
390,47.0,300.0,0.0,3.0,350.0,1.0,300.0
391,27.0,350.0,0.0,3.0,300.0,1.0,250.0
392,40.0,200.0,1.0,2.0,200.0,1.0,200.0
393,33.0,200.0,1.0,2.0,250.0,1.0,200.0
394,42.0,250.0,1.0,3.0,350.0,1.0,200.0
